'Zone','fare_amount','average_fare_borough','average_fare_zone_borough','overall_average_fare'
'Melrose South',6.5,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',34.719999999999999751,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',38.409999999999996589,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',47.679999999999997939,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',12.5,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',24.199999999999999289,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',36.200000000000001065,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',3.0,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',17.0,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',19.0,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',54.500000000000001776,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',15.0,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',13.000000000000000444,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',10.0,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',16.320000000000001172,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',9.8000000000000007105,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',13.48000000000000087,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',18.480000000000000426,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',11.999999999999999644,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',19.890000000000000568,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',29.460000000000000852,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',20.300000000000002486,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',38.28999999999999737,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',9.7699999999999995736,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',64.230000000000000426,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',32.450000000000001065,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',23.21000000000000174,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',22.359999999999997655,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',50.310000000000005826,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',11.579999999999999182,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',35.289999999999999147,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',11.999999999999999644,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',13.999999999999999111,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',22.660000000000000142,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',39.899999999999998578,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',28.73999999999999666,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',36.109999999999997655,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',19.690000000000001278,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',10.929999999999999715,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',11.169999999999999928,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',8.0,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',39.289999999999999147,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',8.0,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',29.950000000000001065,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',18.660000000000000142,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',37.13999999999999968,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',22.94000000000000039,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',8.1999999999999992894,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',7.0,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',9.5,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',28.199999999999999289,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',6.0,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',11.999999999999999644,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',3.5,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',27.000000000000001776,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',6.5,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',5.0,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',6.5,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',7.2000000000000001776,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',25.499999999999998223,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',5.5,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',9.5,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',2.5,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',16.499999999999999111,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',4.5,27.630240292604217877,20.537190265486757745,12.929082202352364383
'Melrose South',12.5,27.630240292604217877,20.537190265486757745,12.929082202352364383
